Email No.,the,to,ect,and,for,of,a,you,hou,in,on,is,this
Email 2933,2,4,1,1,0,1,20,2,0,1,5,2,0
Email 2934,0,2,3,0,5,0,19,0,1,0,4,4,0
Email 2935,6,1,1,0,3,0,26,1,0,6,7,4,1
Email 2936,2,2,2,0,1,0,19,1,2,6,6,1,0
Email 2937,2,4,10,0,4,3,51,1,4,5,5,5,3
Email 2938,5,3,10,6,5,2,67,2,2,4,9,5,1
Email 2939,4,2,2,0,2,2,9,3,1,5,4,2,0
Email 2940,0,0,1,0,0,0,5,0,0,0,1,0,0
Email 2941,2,2,3,2,0,0,10,0,0,2,3,0,0
Email 2942,2,2,2,0,1,2,27,0,0,12,1,1,0
Email 2943,0,0,1,1,1,0,6,0,0,1,2,1,0
Email 2944,1,2,2,0,3,3,16,1,0,3,4,3,0
Email 2945,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 2946,0,0,1,0,1,0,15,0,0,0,5,0,0
Email 2947,2,1,1,2,1,0,52,0,0,6,3,0,0
Email 2948,4,5,1,1,0,4,18,13,0,7,11,1,0
Email 2949,5,3,10,6,5,2,67,2,2,4,9,5,1
Email 2950,0,0,1,0,0,0,5,0,0,0,1,0,0
Email 2951,43,24,1,3,4,2,108,3,3,20,33,10,4
Email 2952,1,4,8,2,3,1,44,5,3,4,14,0,0
Email 2953,0,1,2,1,0,1,38,0,0,1,6,3,0
Email 2954,14,1,16,0,13,4,61,0,7,15,31,1,0
Email 2955,30,17,1,16,13,20,170,16,2,42,47,23,6
Email 2956,2,2,2,0,2,2,10,0,0,2,2,2,0
Email 2957,1,0,1,0,0,1,9,1,0,1,3,0,0
Email 2958,8,0,1,0,7,2,25,0,0,6,5,0,0
Email 2959,0,1,5,0,1,0,10,0,2,0,2,2,0
Email 2960,0,0,1,0,0,0,4,0,0,0,1,0,0
Email 2961,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 2962,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 2963,4,7,9,6,4,1,80,12,3,10,19,8,5
Email 2964,1,2,4,0,2,0,23,0,2,7,10,2,1
Email 2965,0,9,3,0,1,0,22,0,1,0,14,4,0
Email 2966,6,3,1,2,3,0,26,2,0,4,10,5,1
Email 2967,8,2,3,5,2,4,37,1,0,11,3,6,2
Email 2968,4,3,1,1,2,0,11,1,0,1,2,0,0
Email 2969,1,1,1,0,1,0,18,1,0,2,2,1,0
Email 2970,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 2971,0,6,4,3,1,17,80,0,0,14,17,4,0
Email 2972,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 2973,1,1,1,0,1,0,6,0,0,1,1,0,0
Email 2974,12,15,1,6,2,8,66,2,6,11,21,10,2
Email 2975,17,2,31,0,18,5,95,0,14,24,56,2,0
Email 2976,6,2,1,0,1,1,30,3,1,4,2,0,0
Email 2977,5,1,1,0,1,0,30,1,0,5,4,1,0
Email 2978,0,0,1,0,1,2,17,0,0,3,2,3,1
Email 2979,0,0,1,0,1,0,2,0,0,0,1,0,0
Email 2980,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 2981,1,3,1,0,1,0,32,1,0,6,4,1,0
Email 2982,0,0,1,0,1,0,2,0,0,0,1,0,0
Email 2983,4,4,25,0,5,2,44,1,12,11,7,5,0
Email 2984,2,6,5,3,4,5,76,11,0,27,9,6,1
Email 2985,6,2,1,0,1,1,30,3,1,4,2,0,0
Email 2986,3,6,1,3,0,1,21,0,0,3,6,2,1
Email 2987,0,5,1,1,0,1,20,7,0,5,3,1,0
Email 2988,15,12,1,7,3,5,77,9,1,22,13,14,1
Email 2989,2,5,4,0,0,3,14,0,0,3,0,0,0
Email 2990,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 2991,0,0,1,0,1,0,5,0,0,0,1,0,0
Email 2992,7,6,1,1,4,0,30,1,1,6,6,6,3
Email 2993,1,0,1,1,0,0,8,0,0,0,1,1,0
Email 2994,3,3,4,3,2,0,20,2,1,4,1,1,0
Email 2995,0,0,1,0,1,0,1,1,0,0,0,0,0
Email 2996,0,1,2,0,0,0,14,0,1,4,3,1,0
Email 2997,5,6,9,9,3,7,85,1,4,21,8,2,1
Email 2998,5,1,1,2,2,5,30,2,0,3,4,1,1
Email 2999,9,9,4,6,3,3,78,3,1,5,8,9,4
Email 3000,0,0,1,0,1,0,5,0,0,0,4,0,0
Email 3001,0,2,2,0,1,0,27,0,0,6,6,3,0
Email 3002,3,2,1,1,2,2,13,0,0,4,2,2,1
Email 3003,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3004,9,9,4,6,3,3,78,3,1,5,8,9,4
Email 3005,4,2,2,1,3,1,33,0,1,12,11,2,0
Email 3006,2,1,2,0,3,0,14,0,0,0,7,1,0
Email 3007,0,1,1,0,0,1,5,0,0,0,2,0,0
Email 3008,12,9,4,3,5,4,66,1,1,17,17,16,7
Email 3009,17,6,2,7,4,8,58,2,0,13,9,6,0
Email 3010,0,1,1,1,1,1,14,0,0,0,1,2,0
Email 3011,6,2,1,1,4,2,50,1,0,8,10,2,1
Email 3012,2,4,1,3,0,2,24,2,0,1,5,1,0
Email 3013,0,4,2,0,0,2,23,2,0,5,7,6,4
Email 3014,4,3,1,1,4,0,30,0,0,6,2,1,0
Email 3015,2,3,1,0,4,0,15,0,0,2,1,2,0
Email 3016,4,4,1,1,1,1,34,2,0,13,4,3,0
Email 3017,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3018,1,6,1,1,0,1,27,0,0,4,6,6,3
Email 3019,0,0,1,0,1,0,3,0,0,0,2,0,0
Email 3020,2,3,2,3,5,6,46,2,1,11,9,6,3
Email 3021,1,1,2,0,0,0,5,0,0,1,2,2,0
Email 3022,1,1,3,0,0,0,2,0,0,0,0,1,0
Email 3023,7,4,1,3,1,2,32,5,0,8,8,1,0
Email 3024,4,3,1,1,4,0,30,0,0,6,2,1,0
Email 3025,2,3,1,0,4,0,15,0,0,2,1,2,0
Email 3026,2,1,1,0,2,0,23,4,0,3,3,0,0
Email 3027,1,0,1,1,0,0,8,0,0,1,0,3,1
Email 3028,4,2,6,3,2,1,33,0,4,5,3,4,1
Email 3029,0,0,1,0,0,2,8,0,0,2,3,0,0
Email 3030,3,0,1,2,2,1,14,0,1,3,2,1,0
Email 3031,41,33,12,17,10,12,296,7,1,42,50,29,6
Email 3032,9,1,1,2,0,2,26,1,1,8,2,4,2
Email 3033,4,4,2,3,4,6,40,1,1,6,8,10,4
Email 3034,11,5,5,2,7,0,61,1,3,12,9,4,1
Email 3035,0,0,1,0,0,0,21,0,0,6,0,2,0
Email 3036,0,0,1,0,1,0,3,0,0,0,3,0,0
Email 3037,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3038,11,5,5,2,7,0,61,1,3,12,9,4,1
Email 3039,6,4,1,1,2,2,24,4,0,9,3,2,0
Email 3040,1,10,1,6,3,2,47,7,0,15,5,7,3
Email 3041,5,6,3,12,2,1,73,1,1,8,16,3,2
Email 3042,0,0,1,0,0,0,1,1,0,2,0,1,0
Email 3043,12,7,1,3,3,3,49,2,2,12,4,10,2
Email 3044,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3045,0,0,1,0,1,0,3,0,0,0,2,0,0
Email 3046,4,4,11,1,1,2,30,0,6,4,10,2,0
Email 3047,14,11,10,2,3,4,62,1,7,17,22,13,3
Email 3048,12,7,1,3,3,3,49,2,2,12,4,10,2
Email 3049,3,6,2,3,1,4,54,7,0,10,14,6,1
Email 3050,1,1,1,0,1,0,12,1,0,2,1,1,0
Email 3051,0,0,1,0,1,0,5,0,0,0,3,0,0
Email 3052,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3053,1,1,1,0,1,0,12,1,0,2,1,1,0
Email 3054,5,1,1,1,2,2,36,3,0,8,6,7,1
Email 3055,3,6,5,4,1,4,98,10,0,22,16,4,1
Email 3056,2,5,1,1,2,0,18,0,1,1,4,2,1
Email 3057,3,8,2,1,3,0,45,1,1,3,10,2,1
Email 3058,2,3,1,1,0,0,5,0,0,3,3,0,0
Email 3059,8,4,1,1,0,3,22,0,0,2,2,1,0
Email 3060,0,1,1,1,1,0,9,1,0,1,0,1,0
Email 3061,6,7,1,0,2,3,26,1,0,3,4,1,0
Email 3062,33,16,4,15,4,3,108,5,1,27,14,5,0
Email 3063,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3064,0,0,1,0,1,0,11,0,0,0,5,0,0
Email 3065,2,0,1,0,0,1,5,0,0,1,3,1,0
Email 3066,0,1,2,0,0,0,14,0,1,4,3,1,0
Email 3067,1,0,1,2,2,1,19,2,0,3,3,0,0
Email 3068,1,1,1,2,2,0,16,1,0,3,1,1,0
Email 3069,1,3,1,1,3,1,20,1,0,4,4,0,0
Email 3070,0,1,2,0,0,0,10,0,1,2,2,1,0
Email 3071,10,15,13,1,4,5,82,2,5,8,13,1,0
Email 3072,3,3,1,0,0,1,19,5,1,8,2,5,1
Email 3073,13,8,5,4,5,3,65,2,3,12,6,11,2
Email 3074,2,1,1,0,0,1,8,0,0,3,3,1,0
Email 3075,40,26,13,5,3,15,173,12,7,39,43,8,2
Email 3076,0,2,1,0,0,0,15,0,1,3,1,1,0
Email 3077,0,2,1,0,0,0,16,0,1,3,1,1,0
Email 3078,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3079,1,2,1,0,0,2,7,2,0,1,3,0,0
Email 3080,0,0,1,0,1,0,5,0,0,0,3,0,0
Email 3081,13,8,5,4,5,3,65,2,3,12,6,11,2
Email 3082,13,8,5,8,8,6,83,0,0,21,17,8,2
Email 3083,0,1,1,1,1,0,9,1,0,1,0,1,0
Email 3084,6,11,11,1,7,2,71,3,3,8,15,3,1
Email 3085,11,13,9,4,1,3,62,2,3,9,7,8,3
Email 3086,1,2,2,0,4,0,22,4,0,4,5,2,1
Email 3087,1,1,1,0,2,0,25,4,0,3,5,0,0
Email 3088,22,14,27,5,5,5,134,7,15,19,28,15,4
Email 3089,8,7,7,1,6,0,61,0,4,9,9,2,0
Email 3090,20,12,2,8,5,6,80,7,4,23,12,14,1
Email 3091,4,1,1,1,2,1,12,0,0,1,1,0,0
Email 3092,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3093,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 3094,8,7,7,1,6,0,61,0,4,9,9,2,0
Email 3095,4,1,1,1,2,1,12,0,0,1,1,0,0
Email 3096,20,23,22,12,3,3,130,8,7,15,17,16,6
Email 3097,47,39,19,20,18,20,268,18,8,56,48,19,7
Email 3098,13,12,1,3,1,3,44,0,0,9,13,3,1
Email 3099,4,5,1,1,2,3,18,0,0,3,1,2,1
Email 3100,4,5,1,1,2,3,22,0,0,3,1,2,1
Email 3101,29,20,11,8,10,8,149,3,6,28,22,22,8
Email 3102,42,23,11,11,10,11,188,4,7,29,31,28,9
Email 3103,0,2,1,0,0,0,27,1,1,3,2,1,0
Email 3104,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3105,0,0,2,0,0,0,12,0,0,0,6,3,0
Email 3106,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 3107,15,10,8,4,7,7,94,6,1,17,10,9,2
Email 3108,13,6,1,3,1,3,51,0,1,7,11,8,2
Email 3109,37,20,40,16,24,3,209,29,17,22,24,15,3
Email 3110,0,1,3,0,0,0,27,0,0,9,5,2,0
Email 3111,1,0,2,0,1,0,4,0,1,0,1,0,0
Email 3112,1,0,1,0,0,0,3,0,0,2,1,1,0
Email 3113,2,6,1,2,2,3,44,4,1,6,8,7,4
Email 3114,3,0,4,0,1,0,8,0,0,3,1,0,0
Email 3115,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3116,3,2,1,2,2,2,42,1,1,3,4,8,3
Email 3117,0,0,1,0,1,0,5,0,0,0,1,0,0
Email 3118,2,1,1,0,0,1,14,0,0,2,4,1,1
Email 3119,7,8,1,1,3,3,25,0,0,3,2,2,0
Email 3120,7,4,1,1,0,1,34,0,0,9,1,4,0
Email 3121,0,0,1,0,1,0,2,0,0,0,1,0,0
Email 3122,0,0,1,0,1,0,11,0,0,0,4,0,0
Email 3123,23,10,2,9,6,10,71,5,2,18,12,17,1
Email 3124,0,0,1,0,0,0,21,0,0,6,0,2,0
Email 3125,2,5,2,0,0,1,14,0,0,3,0,0,0
Email 3126,38,25,49,17,27,5,228,31,21,24,25,17,3
Email 3127,0,2,1,0,5,2,10,2,0,0,1,0,0
Email 3128,0,4,14,2,7,2,32,3,6,0,3,2,0
Email 3129,12,9,1,1,2,3,36,0,0,8,5,3,1
Email 3130,3,1,1,2,1,2,32,3,1,3,6,10,4
Email 3131,0,4,1,1,1,11,47,2,1,11,14,2,0
Email 3132,8,8,1,1,2,3,26,0,0,4,3,3,1
Email 3133,3,9,30,2,12,2,61,5,14,2,8,3,0
Email 3134,10,10,2,1,2,4,30,0,0,6,2,6,2
Email 3135,15,15,1,12,4,5,95,3,1,11,7,4,2
Email 3136,38,16,2,10,9,18,214,2,4,33,22,15,5
Email 3137,2,2,3,2,0,0,12,0,0,2,3,0,0
Email 3138,0,0,1,0,1,0,2,0,0,0,1,0,0
Email 3139,0,0,1,0,1,0,5,0,0,0,1,0,0
Email 3140,2,8,11,0,1,0,37,0,5,2,5,0,0
Email 3141,1,6,3,0,0,0,15,0,0,2,1,0,0
Email 3142,19,21,30,9,10,8,176,3,13,31,36,26,12
Email 3143,9,12,3,4,2,5,53,7,0,14,11,3,1
Email 3144,0,4,1,2,1,2,13,6,0,6,2,1,0
Email 3145,0,0,1,0,0,0,3,0,0,2,1,0,0
Email 3146,1,5,1,1,3,0,9,0,0,2,1,0,0
Email 3147,9,15,20,4,2,5,80,8,8,14,23,3,1
Email 3148,9,15,20,4,2,5,82,8,8,15,24,3,1
Email 3149,9,18,37,4,2,5,107,9,16,14,34,3,1
Email 3150,9,15,20,4,2,5,80,8,8,14,23,3,1
Email 3151,3,2,1,1,1,1,14,1,0,4,3,1,0
Email 3152,3,2,5,2,4,1,41,2,3,12,6,4,2
Email 3153,10,5,1,13,4,1,62,11,3,14,5,4,0
Email 3154,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3155,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 3156,2,4,1,1,2,1,24,0,1,5,5,0,0
Email 3157,4,2,1,0,1,2,27,0,1,2,3,1,1
Email 3158,1,8,31,2,15,4,67,9,14,2,9,4,1
Email 3159,3,1,1,0,0,1,6,0,0,1,3,1,0
Email 3160,7,8,1,0,1,6,36,7,0,5,7,1,1
Email 3161,2,2,1,0,0,1,9,2,0,2,2,1,0
Email 3162,8,7,1,1,2,3,35,0,0,6,5,1,0
Email 3163,43,28,59,18,29,5,250,33,26,28,27,17,3
Email 3164,2,1,1,0,3,2,16,2,0,5,4,2,2
Email 3165,6,4,2,1,2,8,39,5,2,5,5,8,1
Email 3166,1,4,2,1,2,6,40,2,1,8,6,10,4
Email 3167,1,4,2,1,1,1,37,4,1,6,7,11,4
Email 3168,3,0,1,2,2,0,24,1,1,3,5,2,0
Email 3169,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 3170,3,7,1,4,2,0,31,7,0,8,7,4,2
Email 3171,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3172,17,15,2,11,10,9,116,18,0,30,21,16,4
Email 3173,5,6,3,4,6,2,51,5,0,9,6,3,0
Email 3174,1,2,1,0,1,0,7,0,0,2,0,2,0
Email 3175,0,1,1,0,0,0,4,0,0,1,0,0,0
Email 3176,0,3,1,0,0,1,25,0,0,4,6,1,0
Email 3177,2,2,3,0,2,0,26,1,2,2,7,1,0
Email 3178,0,1,2,0,0,1,20,0,0,2,2,0,0
Email 3179,3,4,2,2,5,0,34,2,0,4,7,1,0
Email 3180,22,10,2,7,5,10,96,8,1,29,12,16,0
Email 3181,0,0,1,1,1,0,30,0,0,7,6,1,0
Email 3182,7,7,1,1,2,3,27,0,0,3,4,2,0
Email 3183,7,9,1,3,6,8,105,6,0,15,22,10,1
Email 3184,3,5,2,0,2,6,29,4,0,10,6,4,1
Email 3185,5,6,1,1,2,3,20,0,0,4,3,6,3
Email 3186,52,51,1,28,21,8,253,3,0,34,29,6,1
Email 3187,1,1,7,0,5,1,27,1,3,1,8,3,0
Email 3188,2,4,5,1,5,1,29,1,4,6,3,3,0
Email 3189,2,0,1,0,1,2,9,1,0,1,4,1,0
Email 3190,1,5,1,1,1,2,32,3,2,4,6,9,3
Email 3191,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3192,0,0,1,0,0,0,17,0,0,0,6,0,0
Email 3193,2,4,1,1,0,1,27,2,0,4,8,3,0
Email 3194,19,14,6,6,6,14,85,6,0,50,23,13,3
Email 3195,3,1,1,4,1,0,21,3,0,4,0,1,0
Email 3196,9,7,1,1,5,4,40,0,0,5,6,4,3
Email 3197,9,10,2,1,2,4,31,0,0,6,2,5,2
Email 3198,4,2,1,1,2,3,20,0,1,1,5,1,0
Email 3199,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3200,0,0,1,0,0,0,6,0,0,0,3,0,0
Email 3201,2,1,1,0,0,2,16,0,0,2,1,0,0
Email 3202,0,4,2,0,1,0,14,0,0,0,10,1,0
Email 3203,0,4,2,0,3,0,14,0,0,0,10,1,0
Email 3204,7,8,2,2,3,3,27,0,0,8,2,3,1
Email 3205,14,9,6,1,3,1,31,8,7,11,8,1,0
Email 3206,8,6,1,1,2,3,30,0,0,6,3,3,1
Email 3207,0,11,3,0,3,0,78,0,0,23,21,5,1
Email 3208,8,6,1,2,2,3,36,0,0,7,3,3,1
Email 3209,4,7,1,1,2,3,26,0,0,6,4,5,3
Email 3210,14,7,6,6,5,0,56,4,2,9,11,9,4
Email 3211,10,9,1,1,2,5,37,0,0,5,6,3,2
Email 3212,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 3213,0,0,1,0,1,0,6,0,0,0,3,0,0
Email 3214,11,14,2,7,4,8,92,10,1,29,9,9,3
Email 3215,4,8,1,1,2,0,37,4,0,5,3,0,0
Email 3216,10,5,1,1,1,3,47,0,1,11,8,2,1
Email 3217,1,4,3,3,1,2,28,1,3,5,7,15,4
Email 3218,1,2,1,3,2,1,31,5,0,11,5,2,0
Email 3219,0,2,3,0,1,0,19,0,1,0,6,3,0
Email 3220,0,3,3,1,1,0,46,5,1,0,11,1,1
Email 3221,3,9,1,1,2,1,83,4,1,13,11,7,1
Email 3222,6,7,1,4,3,5,62,4,0,15,11,6,1
Email 3223,40,19,10,11,12,19,245,3,7,35,30,15,5
Email 3224,0,0,1,1,0,0,6,0,0,0,0,0,0
Email 3225,0,0,1,0,1,0,6,0,0,0,3,0,0
Email 3226,1,0,1,0,1,0,5,0,0,0,2,0,0
Email 3227,0,2,3,0,0,0,28,0,1,7,8,1,0
Email 3228,9,6,4,3,3,4,72,1,0,15,16,4,2
Email 3229,4,4,4,0,2,1,23,0,1,5,4,3,1
Email 3230,0,5,1,0,1,1,5,1,0,2,0,1,0
Email 3231,1,0,1,0,1,1,16,1,0,0,2,2,1
Email 3232,5,2,1,1,3,1,22,1,1,0,1,2,0
Email 3233,6,6,1,3,1,2,44,3,0,12,4,8,3
Email 3234,4,4,1,2,0,1,28,0,0,6,1,2,0
Email 3235,1,2,2,2,2,1,28,1,0,2,2,3,0
Email 3236,0,0,1,0,1,0,4,0,0,0,0,0,0
Email 3237,0,0,1,0,1,0,16,0,0,0,5,0,0
Email 3238,15,8,4,4,5,7,80,6,2,15,10,13,0
Email 3239,1,10,1,6,3,2,48,7,0,15,6,7,3
Email 3240,0,0,2,1,0,0,6,0,0,0,0,0,0
Email 3241,2,1,1,1,0,2,9,1,0,1,4,0,0
Email 3242,8,2,3,3,2,1,58,0,0,9,13,0,0
Email 3243,5,6,1,1,4,4,25,0,0,5,4,5,3
Email 3244,0,0,1,0,1,0,4,0,0,0,0,0,0
Email 3245,0,0,1,0,0,0,8,0,0,1,4,1,0
Email 3246,6,5,2,0,0,1,33,1,0,3,6,2,0
Email 3247,2,2,3,3,0,2,25,7,0,4,5,1,1
Email 3248,3,4,3,1,0,3,22,2,0,11,5,3,1
Email 3249,8,9,1,1,0,2,30,0,0,8,7,2,1
Email 3250,3,1,2,2,3,0,29,0,1,13,7,3,2
Email 3251,4,1,1,3,1,0,17,2,0,1,0,1,0
Email 3252,0,0,1,0,1,0,5,0,0,0,3,0,0
Email 3253,4,2,1,1,1,2,23,0,0,4,4,1,1
Email 3254,9,9,4,5,9,3,85,16,0,20,14,8,6
Email 3255,2,3,1,5,2,7,50,2,1,14,9,8,4
Email 3256,0,0,1,0,1,0,4,0,0,0,0,0,0
Email 3257,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 3258,0,0,1,0,1,0,5,0,0,0,3,0,0
Email 3259,2,1,1,0,1,1,23,1,0,2,1,3,2
Email 3260,5,0,1,1,2,0,21,2,0,1,0,6,2
Email 3261,4,6,1,4,3,1,30,1,0,1,2,0,0
Email 3262,0,0,1,0,0,0,3,1,0,1,0,1,0
Email 3263,17,9,4,7,5,0,98,0,2,9,6,7,3
Email 3264,9,10,1,1,3,2,67,2,2,5,22,9,0
Email 3265,0,3,1,1,1,0,9,2,0,5,0,4,2
Email 3266,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 3267,0,0,1,0,1,0,4,0,0,0,0,0,0
Email 3268,62,73,19,44,38,36,443,3,3,133,67,69,18
Email 3269,4,0,2,1,1,2,21,1,1,3,4,0,0
Email 3270,2,1,1,1,2,0,19,0,0,6,3,1,0
Email 3271,0,1,1,0,1,0,15,2,0,3,3,3,1
Email 3272,7,12,8,4,4,5,92,6,3,22,18,11,8
Email 3273,3,8,1,1,2,3,21,0,0,5,3,5,2
Email 3274,10,12,2,1,2,3,37,0,0,11,2,4,1
Email 3275,3,9,1,1,1,4,35,7,0,5,6,1,1
Email 3276,3,3,1,1,1,0,15,1,0,5,0,3,2
Email 3277,0,0,1,0,1,0,4,0,0,0,0,0,0
Email 3278,1,0,1,1,1,0,17,1,0,2,2,1,0
Email 3279,0,0,1,0,1,0,12,0,0,0,3,0,0
Email 3280,0,0,1,0,0,0,7,0,0,0,0,0,0
Email 3281,5,3,1,7,4,4,58,5,0,10,10,2,0
Email 3282,0,0,1,0,0,0,2,0,0,0,1,1,0
Email 3283,10,18,3,9,2,3,60,0,0,15,10,10,3
Email 3284,4,7,15,1,2,1,60,3,6,9,8,10,5
Email 3285,2,0,1,1,2,0,12,1,0,1,4,2,2
Email 3286,2,0,1,1,2,1,18,1,0,2,2,3,1
Email 3287,11,23,9,10,2,3,89,1,2,17,13,11,4
Email 3288,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 3289,12,18,1,8,8,10,121,20,1,22,19,12,1
Email 3290,0,0,1,0,1,0,4,0,0,0,0,0,0
Email 3291,3,3,1,1,0,5,16,1,0,4,0,2,0
Email 3292,0,0,1,0,1,0,4,0,0,1,1,2,0
Email 3293,4,1,1,3,1,1,25,0,0,4,1,6,3
Email 3294,0,0,1,0,0,1,3,0,0,0,1,0,0
Email 3295,23,21,18,7,25,5,207,2,6,40,65,7,2
Email 3296,23,19,13,5,20,4,176,0,5,34,57,7,2
Email 3297,15,15,7,3,14,3,127,0,3,22,44,3,1
Email 3298,8,17,3,10,11,7,189,24,3,28,40,15,7
Email 3299,3,5,1,0,0,0,8,2,0,1,2,4,2
Email 3300,13,11,1,9,7,7,112,29,0,33,22,15,4
Email 3301,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 3302,3,8,2,2,3,0,53,8,1,11,6,8,2
Email 3303,0,0,1,0,1,0,4,0,0,0,0,0,0
Email 3304,0,2,2,2,0,2,31,0,0,2,4,2,0
Email 3305,11,7,1,2,5,4,48,2,0,8,10,8,6
Email 3306,9,7,10,3,2,5,66,1,4,8,12,5,3
Email 3307,8,5,2,3,5,0,68,1,0,20,11,5,1
Email 3308,7,2,1,2,3,3,33,2,0,5,2,2,1
Email 3309,16,19,10,6,3,3,68,25,0,17,22,11,1
